unit,source,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,SRV,C50,IT	: 	72.50 	75.10 	74.80 	75.20 	74.00 	73.30 	71.50 	72.00 	70.40 	69.90 	70.10 	70.00 	71.90 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,LT	: 	: 	52.80 	: 	: 	: 	: 	46.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,LU	: 	: 	77.83 	: 	: 	: 	: 	81.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,MT	: 	: 	: 	: 	: 	: 	: 	68.00 	: 	: 	: 	: 	: 	39.70 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,NL	: 	: 	77.10 	79.80 	79.30 	77.90 	79.60 	79.80 b	85.30 	87.30 	85.60 	87.60 b	88.10 	88.60 	88.10 	89.00 	88.00 	85.80 	85.40 	84.60 	87.50 	92.20 
PC,SRV,C50,PL	: 	: 	53.70 	: 	: 	: 	: 	58.60 	: 	: 	: 	: 	57.10 	: 	: 	: 	: 	24.80 	: 	: 	: 	: 
PC,SRV,C50,PT	: 	: 	80.20 	: 	: 	: 	: 	84.20 	: 	: 	: 	: 	: 	: 	: 	: 	73.60 	: 	: 	: 	: 	: 
PC,SRV,C50,RO	: 	: 	9.20 	: 	: 	: 	: 	6.60 	: 	: 	: 	: 	: 	8.00 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,RS	: 	: 	30.10 	: 	: 	: 	: 	: 	22.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,SE	: 	: 	95.20 	: 	: 	: 	: 	90.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,SI	: 	: 	82.30 	: 	: 	: 	: 	72.10 	: 	: 	: 	: 	: 	: 	47.20 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,SK	: 	: 	53.50 	: 	: 	: 	: 	54.10 	: 	: 	: 	: 	59.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,TR	: 	: 	30.70 	: 	: 	28.10 	: 	24.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,UK	: 	: 	: 	: 	: 	: 	: 	57.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,AT	: 	: 	84.60 	: 	: 	: 	: 	86.60 	: 	: 	: 	: 	: 	: 	: 	81.50 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,BE	: 	: 	: 	68.10 	: 	: 	: 	: 	68.70 	: 	: 	: 	: 	67.40 	: 	: 	: 	67.80 	: 	: 	65.40 	: 
PC,SRV,C53,BG	: 	: 	56.80 	: 	: 	: 	: 	52.20 	: 	: 	: 	: 	: 	46.80 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,CH	: 	: 	: 	: 	75.50 	: 	: 	: 	: 	73.60 	: 	: 	: 	: 	71.90 	: 	: 	: 	: 	73.80 	: 	: 
PC,SRV,C53,CY	: 	: 	69.20 	: 	: 	: 	: 	64.64 	: 	: 	: 	: 	: 	67.35 	: 	: 	: 	: 	: 	: 	: 	: 
